ongress,number,bill_type,is_alive,current_status,committees, cosponsors, current_status_date, current_status_description, introduced_date, sponsor, sponsor_role,title_without_number
111,1845,house_bill,False,pass_over_house,,,2009-11-07,"This bill was introduced in a previous session of Congress and was passed by the House on November 7, 2009 but was never passed by the Senate.",2009-04-01,{},{},Small Business Development Centers Modernization Act of 2009
111,1844,house_bill,False,referred,,,2009-04-01,"This bill was introduced on April 1, 2009, in a previous session of Congress, but was not enacted.",2009-04-01,{},{},Comprehensive Cancer Care Improvement Act of 2009
111,1843,house_bill,False,referred,,,2009-04-01,"This bill was introduced on April 1, 2009, in a previous session of Congress, but was not enacted.",2009-04-01,{},{},John Hope Franklin Tulsa-Greenwood Race Riot Claims Accountability Act of 2009
111,1842,house_bill,False,pass_over_house,,,2009-11-18,"This bill was introduced in a previous session of Congress and was passed by the House on November 18, 2009 but was never passed by the Senate.",2009-04-01,{},{},Expanding Entrepreneurship Act of 2009
111,1841,house_bill,False,referred,,,2009-04-01,"This bill was introduced on April 1, 2009, in a previous session of Congress, but was not enacted.",2009-04-01,{},{},Acid Rain and Mercury Control Act
110,639,house_resolution,False,passed_simpleres,,,2007-09-17,"This simple resolution was agreed to on September 17, 2007. That is the end of the legislative process for a simple resolution.",2007-09-06,{},{},"Commending the actions of the Government of Germany and its cooperation with United States intelligence agencies in preventing a large-scale terrorist attack against locations in Germany, including sites frequented by Americans."
110,634,house_resolution,False,passed_simpleres,,,2007-09-24,"This simple resolution was agreed to on September 24, 2007. That is the end of the legislative process for a simple resolution.",2007-09-05,{},{},"Encouraging participation in hunting and fishing, and supporting the goals and ideals of National Hunting and Fishing Day and the efforts of hunters and fishermen toward the scientific management of wildlife and conservation of the natural environment."
110,635,house_resolution,False,passed_simpleres,,,2007-10-02,"This simple resolution was agreed to on October 2, 2007. That is the end of the legislative process for a simple resolution.",2007-09-05,{},{},"Recognizing the commencement of Ramadan, the Islamic holy month of fasting and spiritual renewal, and expressing respect to Muslims in the United States and throughout the world on this occasion, and for other purposes."
111,185,house_resolution,False,referred,,,2009-02-24,"This resolution was introduced on February 24, 2009, in a previous session of Congress, but was not enacted.",2009-02-24,{},{},Supporting the goals and ideals of Black History Month and honoring the outstanding contributions of African-American Medal of Honor recipients.
110,1371,house_bill,False,referred,,,2007-03-07,"This bill was introduced on March 7, 2007, in a previous session of Congress, but was not enacted.",2007-03-07,{},{},Farming Flexibility Act of 2007
110,1373,house_bill,False,referred,,,2007-03-07,"This bill was introduced on March 7, 2007, in a previous session of Congress, but was not enacted.",2007-03-07,{},{},"To provide for the award of a gold medal on behalf of the Congress to Tiger Woods, in recognition of his service to the Nation in promoting excellence and good sportsmanship, and in breaking barriers with grace and dignity by showing that golf is a sport for all people."
112,87,house_joint_resolution,False,referred,,,2011-11-15,"This resolution was introduced on November 15, 2011, in a previous session of Congress, but was not enacted.",2011-11-15,{},{},Proposing a balanced budget amendment to the Constitution of the United States.
109,4298,house_bill,False,referred,,,2005-11-10,"This bill was introduced on November 10, 2005, in a previous session of Congress, but was not enacted.",2005-11-10,{},{},"To clarify the effective date of the modification of treatment for retirement annuity purposes of part-time service before April 7, 1986, of certain Department of Veterans Affairs health-care professionals."
110,1377,house_bill,False,referred,,,2007-03-07,"This bill was introduced on March 7, 2007, in a previous session of Congress, but was not enacted.",2007-03-07,{},{},Teachers of English Language Learners Act
108,2660,house_bill,False,pass_back_senate,,,2003-09-10,"This bill was introduced in a previous session of Congress and though it was passed by both chambers on September 10, 2003 it was passed in non-identical forms and the differences were never resolved.",2003-07-08,{},{},"Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2004"
110,1379,house_bill,False,referred,,,2007-03-07,"This bill was introduced on March 7, 2007, in a previous session of Congress, but was not enacted.",2007-03-07,{},{},Citizenship Promotion Act of 2007
109,4294,house_bill,False,reported,,,2006-06-21,"This bill was introduced on June 21, 2006, in a previous session of Congress, but was not enacted.",2005-11-10,{},{},Natural Resource Protection Cooperative Agreement Act
112,88,house_joint_resolution,False,referred,,,2011-11-15,"This resolution was introduced on November 15, 2011, in a previous session of Congress, but was not enacted.",2011-11-15,{},{},"Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies or other corporate entities established by the laws of any state, the United States, or any foreign state."
109,4292,house_bill,False,reported,,,2005-11-16,"This bill was introduced on November 16, 2005, in a previous session of Congress, but was not enacted.",2005-11-10,{},{},To amend Public Law 107-153 to further encourage the negotiated settlement of tribal claims.
109,4293,house_bill,False,referred,,,2005-11-10,"This bill was introduced on November 10, 2005, in a previous session of Congress, but was not enacted.",2005-11-10,{},{},Nursing Home Staffing Act of 2005
111,3571,house_bill,False,referred,,,2009-09-15,"This bill was introduced on September 15, 2009, in a previous session of Congress, but was not enacted.",2009-09-15,{},{},Defund ACORN Act
111,3570,house_bill,False,pass_over_house,,,2009-12-03,"This bill was introduced in a previous session of Congress and was passed by the House on December 3, 2009 but was never passed by the Senate.",2009-09-15,{},{},Satellite Home Viewer Reauthorization Act of 2009
111,1761,house_bill,False,referred,,,2009-03-26,"This bill was introduced on March 26, 2009, in a previous session of Congress, but was not enacted.",2009-03-26,{},{},Responsible Use of Taxpayer Help Act
111,3577,house_bill,False,reported,,,2010-03-04,"This bill was introduced on March 4, 2010, in a previous session of Congress, but was not enacted.",2009-09-15,{},{},Education Assistance to Realign New Eligibilities for Dependents (EARNED) Act of 2009
110,6220,house_bill,False,referred,,,2008-06-10,"This bill was introduced on June 10, 2008, in a previous session of Congress, but was not enacted.",2008-06-10,{},{},Green Jobs Improvement Act
108,672,house_bill,False,enacted_signed,,,2003-04-22,"This bill was enacted after being signed by the President on April 22, 2003.",2003-02-11,{},{},"To rename the Guam South Elementary/Middle School of the Department of Defense Domestic Dependents Elementary and Secondary Schools System in honor of Navy Commander William “Willie” McCool, who was the pilot of the Space Shuttle Columbia when it was tragically lost on February 1, 2003."
108,677,house_bill,False,referred,,,2003-02-11,"This bill was introduced on February 11, 2003, in a previous session of Congress, but was not enacted.",2003-02-11,{},{},Filipino Veterans Equity Act of 2003
112,4790,house_bill,False,referred,,,2012-04-25,"This bill was introduced on April 25, 2012, in a previous session of Congress, but was not enacted.",2012-04-25,{},{},"To extend the suspension of duty on 2,2,6,6-Tetramethyl-4-piperidinone."
111,2562,house_bill,False,referred,,,2009-05-21,"This bill was introduced on May 21, 2009, in a previous session of Congress, but was not enacted.",2009-05-21,{},{},Service Members Home Ownership Act of 2009
111,2674,house_bill,False,referred,,,2009-06-03,"This bill was introduced on June 3, 2009, in a previous session of Congress, but was not enacted.",2009-06-03,{},{},Protecting America’s Children Act of 2009
111,487,house_bill,False,referred,,,2009-01-13,"This bill was introduced on January 13, 2009, in a previous session of Congress, but was not enacted.",2009-01-13,{},{},To waive the 35-mile requirement for designation of a critical access hospital under the Medicare program.
106,4879,house_bill,False,referred,,,2000-07-18,"This bill was introduced on July 18, 2000, in a previous session of Congress, but was not enacted.",2000-07-18,{},{},Corps of Engineers Reform Act of 2000
111,482,house_bill,False,referred,,,2009-01-13,"This bill was introduced on January 13, 2009, in a previous session of Congress, but was not enacted.",2009-01-13,{},{},Frank Buckles World War I Memorial Act
108,2402,house_bill,False,referred,,,2003-06-10,"This bill was introduced on June 10, 2003, in a previous session of Congress, but was not enacted.",2003-06-10,{},{},"Health Coverage, Affordability, Responsibility, and Equity Act of 2003"
110,6559,house_bill,False,referred,,,2008-07-22,"This bill was introduced on July 22, 2008, in a previous session of Congress, but was not enacted.",2008-07-22,{},{},OFS Act
112,3787,house_bill,False,referred,,,2012-01-18,"This bill was introduced on January 18, 2012, in a previous session of Congress, but was not enacted.",2012-01-18,{},{},Jobs Score Act of 2012
111,989,house_resolution,False,prov_kill_suspensionfailed,,,2010-06-09,"This resolution was introduced in a previous session of Congress but was killed due to a failed vote for cloture, under a fast-track vote called ""suspension"", or while resolving differences on June 9, 2010.",2009-12-16,{},{},"Expressing the sense of the House of Representatives that the United States should adopt national policies and pursue international agreements to prevent ocean acidification, to study the impacts of ocean acidification, and to address the effects of ocean acidification on marine ecosystems and coastal economies."
111,987,house_resolution,False,referred,,,2009-12-16,"This resolution was introduced on December 16, 2009, in a previous session of Congress, but was not enacted.",2009-12-16,{},{},"Recognizing the importance of trade to the United States economy and the importance of passing free trade agreements with Colombia, South Korea, and Panama."
106,45,house_bill,False,reported,,,1999-04-21,"This bill was introduced on April 21, 1999, in a previous session of Congress, but was not enacted.",1999-01-06,{},{},Nuclear Waste Policy Act of 1999
111,981,house_resolution,False,passed_simpleres,,,2010-01-13,"This simple resolution was agreed to on January 13, 2010. That is the end of the legislative process for a simple resolution.",2009-12-16,{},{},Supporting continued political and economic development in Ukraine.
112,3036,house_bill,False,referred,,,2011-09-22,"This bill was introduced on September 22, 2011, in a previous session of Congress, but was not enacted.",2011-09-22,{},{},Ready-to-Compete Act
111,982,house_resolution,False,referred,,,2009-12-16,"This resolution was introduced on December 16, 2009, in a previous session of Congress, but was not enacted.",2009-12-16,{},{},Expressing the sense of the House of Representatives that France and other member states of the North Atlantic Treaty Organization and the European Union should decline to sell major weapons systems or offensive military equipment to the Russian Federation.
111,1716,house_bill,False,referred,,,2009-03-25,"This bill was introduced on March 25, 2009, in a previous session of Congress, but was not enacted.",2009-03-25,{},{},Property Tax Relief Act of 2009
110,6228,house_bill,False,referred,,,2008-06-10,"This bill was introduced on June 10, 2008, in a previous session of Congress, but was not enacted.",2008-06-10,{},{},Ban Poisonous Additives Act of 2008
110,1279,house_resolution,False,passed_simpleres,,,2008-07-30,"This simple resolution was agreed to on July 30, 2008. That is the end of the legislative process for a simple resolution.",2008-06-17,{},{},Recognizing the Special Olympics’ 40th anniversary.
109,5212,house_bill,False,referred,,,2006-04-26,"This bill was introduced on April 26, 2006, in a previous session of Congress, but was not enacted.",2006-04-26,{},{},Military Domestic and Sexual Violence Response Act
109,5219,house_bill,False,reported,,,2006-09-27,"This bill was introduced on September 27, 2006, in a previous session of Congress, but was not enacted.",2006-04-27,{},{},Judicial Transparency and Ethics Enhancement Act of 2006
109,5218,house_bill,False,referred,,,2006-04-27,"This bill was introduced on April 27, 2006, in a previous session of Congress, but was not enacted.",2006-04-27,{},{},Restore a Rational Tax Rate on Petroleum Production Act of 2006
110,1272,house_resolution,False,passed_simpleres,,,2008-10-02,"This simple resolution was agreed to on October 2, 2008. That is the end of the legislative process for a simple resolution.",2008-06-12,{},{},"Honoring and recognizing Alice Mary Robertson who, while a Member of Congress, became the first woman to preside over the floor of the House of Representatives."
110,1205,house_bill,False,pass_over_house,,,2007-10-22,"This bill was introduced in a previous session of Congress and was passed by the House on October 22, 2007 but was never passed by the Senate.",2007-02-27,{},{},Coral Reef Conservation Amendments Act of 2007
111,3943,house_bill,False,referred,,,2009-10-27,"This bill was introduced on October 27, 2009, in a previous session of Congress, but was not enacted.",2009-10-27,{},{},Post 9/11 Troops to Teachers Enhancement Act
109,1902,house_bill,False,referred,,,2005-04-27,"This bill was introduced on April 27, 2005, in a previous session of Congress, but was not enacted.",2005-04-27,{},{},Healthy Families Act
112,2920,house_bill,False,referred,,,2011-09-14,"This bill was introduced on September 14, 2011, in a previous session of Congress, but was not enacted.",2011-09-14,{},{},Detroit Jobs Trust Fund Act
112,1825,house_bill,False,referred,,,2011-05-11,"This bill was introduced on May 11, 2011, in a previous session of Congress, but was not enacted.",2011-05-11,{},{},Commuter Relief Act
110,4475,house_bill,False,referred,,,2007-12-12,"This bill was introduced on December 12, 2007, in a previous session of Congress, but was not enacted.",2007-12-12,{},{},To suspend temporarily the duty on yarn of carded camel hair yarn.
112,1152,senate_bill,False,referred,,,2011-06-07,"This bill was introduced on June 7, 2011, in a previous session of Congress, but was not enacted.",2011-06-07,{},{},Cybersecurity Enhancement Act of 2011
111,5015,house_bill,False,referred,,,2010-04-14,"This bill was introduced on April 14, 2010, in a previous session of Congress, but was not enacted.",2010-04-14,{},{},"To require a plan for the safe, orderly, and expeditious redeployment of United States Armed Forces from Afghanistan."
111,5017,house_bill,False,pass_over_house,,,2010-04-27,"This bill was introduced in a previous session of Congress and was passed by the House on April 27, 2010 but was never passed by the Senate.",2010-04-14,{},{},Rural Housing Preservation and Stabilization Act of 2010
111,5012,house_bill,False,pass_over_house,,,2010-12-08,"This bill was introduced in a previous session of Congress and was passed by the House on December 8, 2010 but was never passed by the Senate.",2010-04-13,{},{},Weekends Without Hunger Act
111,5013,house_bill,False,pass_over_house,,,2010-04-28,"This bill was introduced in a previous session of Congress and was passed by the House on April 28, 2010 but was never passed by the Senate.",2010-04-14,{},{},Implementing Management for Performance and Related Reforms to Obtain Value in Every Acquisition Act of 2010
112,3257,house_bill,False,referred,,,2011-10-25,"This bill was introduced on October 25, 2011, in a previous session of Congress, but was not enacted.",2011-10-25,{},{},Regulatory Time-Out Act of 2011
106,2436,house_bill,False,pass_over_house,,,1999-09-30,"This bill was introduced in a previous session of Congress and was passed by the House on September 30, 1999 but was never passed by the Senate.",1999-07-01,{},{},Unborn Victims of Violence Act of 1999
106,2121,house_bill,False,reported,,,2000-09-26,"This bill was introduced on September 26, 2000, in a previous session of Congress, but was not enacted.",1999-06-10,{},{},Secret Evidence Repeal Act of 2000
111,5019,house_bill,False,pass_over_house,,,2010-05-06,"This bill was introduced in a previous session of Congress and was passed by the House on May 6, 2010 but was never passed by the Senate.",2010-04-14,{},{},Home Star Energy Retrofit Act of 2010
112,3251,house_bill,False,referred,,,2011-10-24,"This bill was introduced on October 24, 2011, in a previous session of Congress, but was not enacted.",2011-10-24,{},{},"To ensure that Federal assistance provided under the Robert T. Stafford Disaster Relief and Emergency Assistance Act for the construction of certain emergency levees is not conditioned on the subsequent dismantlement of those levees, except as provided for in a status certificate, and for other purposes."
106,2122,house_bill,False,fail_originating_house,,,1999-06-18,"This bill failed in the House on June 18, 1999.",1999-06-10,{},{},Mandatory Gun Show Background Check Act
110,3985,house_bill,False,enacted_signed,,,2008-07-30,"This bill was enacted after being signed by the President on July 30, 2008.",2007-10-29,{},{},Over-the-Road Bus Transportation Accessibility Act of 2007
111,3110,house_bill,False,referred,,,2009-06-26,"This bill was introduced on June 26, 2009, in a previous session of Congress, but was not enacted.",2009-06-26,{},{},FACE Act
108,3752,house_bill,False,pass_over_house,,,2004-03-04,"This bill was introduced in a previous session of Congress and was passed by the House on March 4, 2004 but was never passed by the Senate.",2004-02-03,{},{},Commercial Space Launch Amendments Act of 2004
108,3205,house_bill,False,referred,,,2003-09-30,"This bill was introduced on September 30, 2003, in a previous session of Congress, but was not enacted.",2003-09-30,{},{},Federal Law Enforcement Pay and Benefits Parity Act of 2003
108,3204,house_bill,False,enacted_signed,,,2004-12-21,"This bill was enacted after being signed by the President on December 21, 2004.",2003-09-30,{},{},Benjamin Franklin Commemorative Coin Act
108,3207,house_bill,False,reported,,,2004-09-15,"This bill was introduced on September 15, 2004, in a previous session of Congress, but was not enacted.",2003-09-30,{},{},Manhattan Project Sites Study Act of 2004
112,2250,house_bill,False,pass_over_house,,,2011-10-13,"This bill was introduced in a previous session of Congress and was passed by the House on October 13, 2011 but was never passed by the Senate.",2011-06-21,{},{},EPA Regulatory Relief Act of 2011
112,85,house_bill,False,referred,,,2011-01-05,"This bill was introduced on January 5, 2011, in a previous session of Congress, but was not enacted.",2011-01-05,{},{},TEACH for Our Future Act of 2011
112,2257,house_bill,False,referred,,,2011-06-21,"This bill was introduced on June 21, 2011, in a previous session of Congress, but was not enacted.",2011-06-21,{},{},To waive the requirement that existing traffic signs meet minimum retroreflectivity standards on or before the compliance dates established by the Federal Highway Administration.
107,1198,house_bill,False,referred,,,2001-03-22,"This bill was introduced on March 22, 2001, in a previous session of Congress, but was not enacted.",2001-03-22,{},{},Justice for United States Prisoners of War Act of 2001
111,4069,house_bill,False,referred,,,2009-11-16,"This bill was introduced on November 16, 2009, in a previous session of Congress, but was not enacted.",2009-11-16,{},{},S Corporation Inventory Contribution Act of 2009
110,3997,house_bill,False,pass_back_senate,,,2007-12-19,"This bill was introduced in a previous session of Congress and though it was passed by both chambers on December 19, 2007 it was passed in non-identical forms and the differences were never resolved.",2007-10-30,{},{},Defenders of Freedom Tax Relief Act of 2007
110,4462,house_bill,False,referred,,,2007-12-12,"This bill was introduced on December 12, 2007, in a previous session of Congress, but was not enacted.",2007-12-12,{},{},Code Talkers Recognition Act
111,5462,house_bill,False,pass_over_house,,,2010-09-30,"This bill was introduced in a previous session of Congress and was passed by the House on September 30, 2010 but was never passed by the Senate.",2010-05-28,{},{},"Birth Defects Prevention, Risk Reduction, and Awareness Act of 2010"
106,206,house_concurrent_resolution,False,pass_over_house,,,1999-11-16,"This resolution was introduced in a previous session of Congress and was passed by the House on November 16, 1999 but was never passed by the Senate.",1999-10-25,{},{},"Expressing grave concern regarding armed conflict in the North Caucasus region of the Russian Federation which has resulted in civilian casualties and internally displaced persons, and urging all sides to pursue dialog for peaceful resolution of the conflict."
112,397,house_resolution,False,referred,,,2011-09-13,"This resolution was introduced on September 13, 2011, in a previous session of Congress, but was not enacted.",2011-09-13,{},{},Reestablishing the House of Representatives Page Program.
111,4497,house_bill,False,referred,,,2010-01-21,"This bill was introduced on January 21, 2010, in a previous session of Congress, but was not enacted.",2010-01-21,{},{},Wildlife and Zoological Veterinary Medicine Enhancement Act of 2010
111,4496,house_bill,False,referred,,,2010-01-21,"This bill was introduced on January 21, 2010, in a previous session of Congress, but was not enacted.",2010-01-21,{},{},Helping Small Business Compete Act of 2010
111,1543,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},To amend the Internal Revenue Code of 1986 to impose a tax on bonuses received from companies receiving TARP funds.
107,240,house_concurrent_resolution,False,referred,,,2001-10-02,"This resolution was introduced on October 2, 2001, in a previous session of Congress, but was not enacted.",2001-10-02,{},{},"Expressing the sense of Congress with respect to the urgency of providing food and agricultural development assistance to civilian men, women, and children in Afghanistan, including Afghan refugees, and to the civilian populations of other countries in the central Asia region, including Pakistan, Iran, Kyrgyzstan, Turkmenistan, Tajikistan, and Uzbekistan."
111,2894,house_bill,False,referred,,,2009-06-16,"This bill was introduced on June 16, 2009, in a previous session of Congress, but was not enacted.",2009-06-16,{},{},Voter Confidence and Increased Accessibility Act of 2009
111,2548,house_bill,False,referred,,,2009-05-21,"This bill was introduced on May 21, 2009, in a previous session of Congress, but was not enacted.",2009-05-21,{},{},Keep America’s Waterfronts Working Act of 2009
111,2891,house_bill,False,referred,,,2009-06-16,"This bill was introduced on June 16, 2009, in a previous session of Congress, but was not enacted.",2009-06-16,{},{},Access to Frontline Health Care Act of 2009
110,7013,house_bill,False,referred,,,2008-09-23,"This bill was introduced on September 23, 2008, in a previous session of Congress, but was not enacted.",2008-09-23,{},{},Short-term Analog Flash and Emergency Readiness Act
111,2892,house_bill,False,enacted_signed,,,2009-10-28,"This bill was enacted after being signed by the President on October 28, 2009.",2009-06-16,{},{},"Department of Homeland Security Appropriations Act, 2010"
112,2074,house_bill,False,pass_over_house,,,2011-10-11,"This bill was introduced in a previous session of Congress and was passed by the House on October 11, 2011 but was never passed by the Senate.",2011-06-01,{},{},Veterans Sexual Assault Prevention and Health Care Enhancement Act
111,1546,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},Caring for Veterans with Traumatic Brain Injury Act of 2009
110,391,house_concurrent_resolution,False,referred,,,2008-07-17,"This resolution was introduced on July 17, 2008, in a previous session of Congress, but was not enacted.",2008-07-17,{},{},"Recognizing the disparities that are associated with predatory lending abuses in minority communities and expressing the sense of the Congress that as new abuses continue to emerge, such laws should ensure that all those responsible for representing and protecting families have the authority to act to address these new problems."
111,2547,house_bill,False,referred,,,2009-05-21,"This bill was introduced on May 21, 2009, in a previous session of Congress, but was not enacted.",2009-05-21,{},{},Veterans 2nd Amendment Protection Act
110,397,house_concurrent_resolution,False,referred,,,2008-07-29,"This resolution was introduced on July 29, 2008, in a previous session of Congress, but was not enacted.",2008-07-29,{},{},Expressing the sense of the Congress regarding sexual assaults and rape in the military.
111,1015,house_bill,False,referred,,,2009-02-12,"This bill was introduced on February 12, 2009, in a previous session of Congress, but was not enacted.",2009-02-12,{},{},District of Columbia-Maryland Reunion Act
110,538,house_bill,False,referred,,,2007-01-17,"This bill was introduced on January 17, 2007, in a previous session of Congress, but was not enacted.",2007-01-17,{},{},South Texas Veterans Access to Care Act of 2007
110,539,house_bill,False,referred,,,2007-01-17,"This bill was introduced on January 17, 2007, in a previous session of Congress, but was not enacted.",2007-01-17,{},{},Buildings for the 21st Century Act
106,3521,house_bill,False,referred,,,2000-01-24,"This bill was introduced on January 24, 2000, in a previous session of Congress, but was not enacted.",2000-01-24,{},{},Congressional Accountability for Regulatory Information Act of 2000
110,4294,house_bill,False,referred,,,2007-12-05,"This bill was introduced on December 5, 2007, in a previous session of Congress, but was not enacted.",2007-12-05,{},{},Presidential Funding Act of 2007
112,2787,house_bill,False,referred,,,2011-08-01,"This bill was introduced on August 1, 2011, in a previous session of Congress, but was not enacted.",2011-08-01,{},{},Medicare Diabetes Self-Management Training Act of 2011
110,4296,house_bill,False,referred,,,2007-12-05,"This bill was introduced on December 5, 2007, in a previous session of Congress, but was not enacted.",2007-12-05,{},{},Medicare Electronic Medication and Safety Protection (E-MEDS) Act of 2007
110,4297,house_bill,False,referred,,,2007-12-05,"This bill was introduced on December 5, 2007, in a previous session of Congress, but was not enacted.",2007-12-05,{},{},To amend the Internal Revenue Code of 1986 to extend certain expiring energy conservation provisions and to provide a tax credit for certain individuals using home heating oil.
110,530,house_bill,False,referred,,,2007-01-17,"This bill was introduced on January 17, 2007, in a previous session of Congress, but was not enacted.",2007-01-17,{},{},Military Educational Parity Act of 2007
110,531,house_bill,False,referred,,,2007-01-17,"This bill was introduced on January 17, 2007, in a previous session of Congress, but was not enacted.",2007-01-17,{},{},Retirement Security Education Act of 2007
112,2788,house_bill,False,referred,,,2011-08-01,"This bill was introduced on August 1, 2011, in a previous session of Congress, but was not enacted.",2011-08-01,{},{},Competitive Elections Act of 2011
110,533,house_bill,False,referred,,,2007-01-17,"This bill was introduced on January 17, 2007, in a previous session of Congress, but was not enacted.",2007-01-17,{},{},Iraq Transition Act of 2007
107,148,senate_bill,False,referred,,,2001-01-23,"This bill was introduced on January 23, 2001, in a previous session of Congress, but was not enacted.",2001-01-23,{},{},Hope for Children Act
110,950,house_resolution,False,referred,,,2008-01-29,"This resolution was introduced on January 29, 2008, in a previous session of Congress, but was not enacted.",2008-01-29,{},{},"Recognizing the 19th annual “Zora Neale Hurston Festival of the Arts and Humanities” which will be held from January 26, 2008, to February 3, 2008."
107,1005,house_bill,False,referred,,,2001-03-13,"This bill was introduced on March 13, 2001, in a previous session of Congress, but was not enacted.",2001-03-13,{},{},Children’s Protection from Violent Programming Act
109,6104,house_bill,False,referred,,,2006-09-19,"This bill was introduced on September 19, 2006, in a previous session of Congress, but was not enacted.",2006-09-19,{},{},Reconstruction and Stabilization Civilian Management Act of 2006
107,1009,house_bill,False,pass_over_house,,,2002-04-09,"This bill was introduced in a previous session of Congress and was passed by the House on April 9, 2002 but was never passed by the Senate.",2001-03-13,{},{},Business Checking Freedom Act of 2002
111,4728,house_bill,False,referred,,,2010-03-02,"This bill was introduced on March 2, 2010, in a previous session of Congress, but was not enacted.",2010-03-02,{},{},Balkan Counter-Extremism and Security Act
112,1462,house_bill,False,referred,,,2011-04-08,"This bill was introduced on April 8, 2011, in a previous session of Congress, but was not enacted.",2011-04-08,{},{},National Black Clergy for the Elimination of HIV/AIDS Act of 2011
111,2099,house_bill,False,referred,,,2009-04-23,"This bill was introduced on April 23, 2009, in a previous session of Congress, but was not enacted.",2009-04-23,{},{},Southeast Alaska Native Land Entitlement Finalization Act
111,2766,house_bill,False,referred,,,2009-06-09,"This bill was introduced on June 9, 2009, in a previous session of Congress, but was not enacted.",2009-06-09,{},{},Fracturing Responsibility and Awareness of Chemicals Act of 2009
111,60,house_concurrent_resolution,False,pass_over_house,,,2009-03-30,"This resolution was introduced in a previous session of Congress and was passed by the House on March 30, 2009 but was never passed by the Senate.",2009-02-25,{},{},"Supporting the observance of Colorectal Cancer Awareness Month, and for other purposes."
111,2764,house_bill,False,referred,,,2009-06-08,"This bill was introduced on June 8, 2009, in a previous session of Congress, but was not enacted.",2009-06-08,{},{},For the relief of Lilly M. Ledbetter.
111,6194,house_bill,False,referred,,,2010-09-23,"This bill was introduced on September 23, 2010, in a previous session of Congress, but was not enacted.",2010-09-23,{},{},National Environmental Education Reauthorization Act of 2010
112,3223,house_bill,False,referred,,,2011-10-14,"This bill was introduced on October 14, 2011, in a previous session of Congress, but was not enacted.",2011-10-14,{},{},"To direct the Army Corps of Engineers to allow certain entities to use a portion of collected recreational user fees for administrative expenses and for the operations, maintenance, development of recreational facilities or management of natural resources."
111,5466,house_bill,False,referred,,,2010-05-28,"This bill was introduced on May 28, 2010, in a previous session of Congress, but was not enacted.",2010-05-28,{},{},SAMHSA Modernization Act of 2010
109,4858,house_bill,False,referred,,,2006-03-02,"This bill was introduced on March 2, 2006, in a previous session of Congress, but was not enacted.",2006-03-02,{},{},"Katrina Health Access, Recovery, and Empowerment Act of 2006"
109,4859,house_bill,False,referred,,,2006-03-02,"This bill was introduced on March 2, 2006, in a previous session of Congress, but was not enacted.",2006-03-02,{},{},Federal Family Health Information Technology Act of 2006
112,403,house_bill,False,referred,,,2011-01-24,"This bill was introduced on January 24, 2011, in a previous session of Congress, but was not enacted.",2011-01-24,{},{},Battlefield Excellence through Superior Training Practices Act
106,285,house_concurrent_resolution,False,referred,,,2000-03-15,"This resolution was introduced on March 15, 2000, in a previous session of Congress, but was not enacted.",2000-03-15,{},{},Expressing the sense of Congress regarding Internet security and “cyberterrorism”.
111,3339,house_bill,False,referred,,,2009-07-24,"This bill was introduced on July 24, 2009, in a previous session of Congress, but was not enacted.",2009-07-24,{},{},FLTFA Reauthorization Act of 2009
112,140,house_resolution,False,referred,,,2011-03-03,"This resolution was introduced on March 3, 2011, in a previous session of Congress, but was not enacted.",2011-03-03,{},{},Expressing the sense of the House of Representatives that domestic oil and gas resources are critical to our Nation’s security and economy and the Secretary of the Interior should take immediate action to streamline the shallow and deepwater permitting process.
107,1265,house_bill,False,referred,,,2001-03-28,"This bill was introduced on March 28, 2001, in a previous session of Congress, but was not enacted.",2001-03-28,{},{},To amend the Internal Revenue Code of 1986 to extend the transportation fringe benefit to bicycle commuters.
107,1260,house_bill,False,referred,,,2001-03-28,"This bill was introduced on March 28, 2001, in a previous session of Congress, but was not enacted.",2001-03-28,{},{},Ban on Human Cloning Act
111,3624,house_bill,False,referred,,,2009-09-22,"This bill was introduced on September 22, 2009, in a previous session of Congress, but was not enacted.",2009-09-22,{},{},Poison-Free Poultry Act of 2009
111,90,house_resolution,False,passed_simpleres,,,2009-09-30,"This simple resolution was agreed to on September 30, 2009. That is the end of the legislative process for a simple resolution.",2009-01-26,{},{},Supporting the goals and ideals of National Campus Safety Awareness Month.
111,91,house_resolution,False,passed_simpleres,,,2009-03-03,"This simple resolution was agreed to on March 3, 2009. That is the end of the legislative process for a simple resolution.",2009-01-27,{},{},"Honoring the life and service of Dr. William Spoelhof, president emeritus of Calvin College in Grand Rapids, Michigan."
111,93,house_resolution,False,referred,,,2009-01-27,"This resolution was introduced on January 27, 2009, in a previous session of Congress, but was not enacted.",2009-01-27,{},{},Honoring the Armed Forces from the Inland Empire in California and their families for their extraordinary sacrifices serving the United States in Operation Enduring Freedom and Operation Iraqi Freedom.
